Datum;Anfang;Ende;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
01.01.2022;00:00;00:00;107.182,75;35.128;132.018,75;395.223,75;34.435,5;3.586;80.217,75;117.541,5;65.930,5;66.097,5;28.974,25;34.744,5
02.01.2022;00:00;00:00;107.012,25;34.489,5;148.225;637.309,25;25.637;3.606,25;79.984,75;84.983;53.679,5;63.712;16.545,75;34.803,25
03.01.2022;00:00;00:00;107.247;34.450,5;137.050,5;753.218,75;22.639;3.676,25;88.018;200.795;81.524,5;92.717,5;27.648,75;33.329,75
04.01.2022;00:00;00:00;108.293,25;35.213;115.423,5;359.462,75;10.520,75;4.642,75;97.591;313.122,25;219.827,5;156.832,75;37.457,5;35.042,25
05.01.2022;00:00;00:00;106.048,75;34.797,75;137.739,25;720.438,25;26.398,5;4.248;98.164,5;292.972,75;159.713,75;99.937,5;15.672,75;33.087,75
06.01.2022;00:00;00:00;109.441,25;34.295,75;91.901;290.943,5;50.204,25;4.868;97.224,25;292.546;245.765;161.303,75;36.790,25;35.525,5
07.01.2022;00:00;00:00;111.390,5;34.284,5;138.935,75;514.458,25;18.405,5;4.747;98.040,5;325.941,75;229.822,75;126.999;30.634,75;35.284
08.01.2022;00:00;00:00;110.194,25;32.593;126.319,25;458.570;22.176;4.858,25;97.908,5;298.687,25;218.409,5;106.765,5;18.501,25;34.901,25
09.01.2022;00:00;00:00;109.947;33.351,5;106.707;452.708,25;20.859,25;4.589,5;70.531,75;274.390;186.144,75;110.346,25;19.351,75;34.122,75
10.01.2022;00:00;00:00;110.750,25;35.169,25;23.279,75;57.816,75;26.998,25;4.883;65.672,75;350.497,5;278.851,25;259.020,75;39.690,75;33.503,25
11.01.2022;00:00;00:00;110.356,5;35.465,25;78.363,75;95.699,5;38.220,25;4.896;97.103,5;359.936,75;272.677,75;269.676;29.368,25;26.781
12.01.2022;00:00;00:00;111.357,75;34.013;56.031;140.856,5;37.332,25;5.035,25;95.502,75;358.710,75;273.212,5;273.753;37.756,5;26.861
13.01.2022;00:00;00:00;111.429,25;33.077;125.399,5;421.973,25;37.465,75;4.989,75;98.448,75;332.230;249.939,25;217.912,75;29.308;27.248,25
14.01.2022;00:00;00:00;112.793;31.743,75;89.427;370.615,5;47.656,5;4.904;97.685,5;329.175,25;263.225,25;232.688;25.794;31.968,25
15.01.2022;00:00;00:00;114.056;31.372,75;26.105,75;68.870,75;30.026;5.001,25;95.819,5;319.361;290.032;229.759,25;22.943,5;36.789
16.01.2022;00:00;00:00;111.944,5;31.101,25;113.651,25;406.760,5;24.654,75;5.037;98.381,75;274.722;217.043,5;116.981,5;14.272,75;34.276,5
17.01.2022;00:00;00:00;111.511;30.466;112.473,5;648.476,75;21.525,5;4.803,75;96.954;273.412,5;225.502,25;150.511,75;23.911;33.739,25
18.01.2022;00:00;00:00;113.441,75;31.846,5;66.478,5;164.159,75;30.909,75;5.043,75;94.413;345.101,5;319.936,25;260.517;38.974,25;35.878,5
19.01.2022;00:00;00:00;112.250,25;30.224,25;150.661;490.844,5;49.497;4.862,25;97.979;313.272,75;259.433,75;183.193;19.550;33.378,25
20.01.2022;00:00;00:00;111.140,5;29.372,5;140.600,25;706.528;39.015;4.754,25;98.125;270.618,5;198.595,25;141.210,75;29.360,5;32.959,75
21.01.2022;00:00;00:00;112.287;28.538,5;147.224,5;492.000,75;44.330,5;4.924,25;98.265,25;298.827;236.046,25;189.077,25;33.136,75;38.507,75
22.01.2022;00:00;00:00;112.549,25;28.287,25;71.286,25;304.679;20.572;4.858;96.708,5;312.449,75;199.894,75;211.562;24.993,75;35.280,75
23.01.2022;00:00;00:00;111.508,75;26.900,5;36.023;120.421,25;24.846;4.892,75;95.302,75;332.321,25;261.738,75;215.403,5;15.724;35.498,25
24.01.2022;00:00;00:00;113.528,5;29.432,75;54.921,25;79.628,25;37.574,5;4.908,5;97.453,25;333.000,5;293.638,5;269.948;38.041;36.627,5
25.01.2022;00:00;00:00;114.116;34.484,5;42.455,25;95.302,75;27.290,75;5.011,5;98.622,5;332.419,25;299.193,5;303.309;39.185,25;37.667,5
